ID	imdb_id	title	releasedYear	Genre	Director	Writter	actors	moviePlot	PreprocessedPlot	keywords	imdb_votes	imdb_rating	PolarityConfidence
74	tt2561572	Get Hard	2015	"Comedy, Crime"	Etan Cohen	"Jay Martel (screenplay), Ian Roberts (screenplay), Etan Cohen (screenplay), Adam McKay (story), Jay Martel (story), Ian Roberts (story)"	"Will Ferrell, Kevin Hart, Craig T. Nelson, Alison Brie"	"Kevin Hart plays the role of Darnell--a family man desperate to get enough money to buy a house in a better area to benefit his family's well-being. He is hired by James (Will Ferrell), a wimpy stock trader who is about to go to prison for 10 years, to prepare him for life behind bars. The catch is that James thinks Darnell is an ex-con--not because Darnell told him that, but because James just assumed."	kevin hart play role darnella family man desperate get enough money buy house better area benefit family wellbeing hired james will ferrell wimpy stock trader go prison year prepare life behind bar catch james think darnell exconnot darnell told james just assumed	" kevin hart, play role darnella, family man, desperate get, enough money buy house, area benefit, family wellbeing, hired james, wimpy stock trader go, prison year prepare life, bar catch james, exconnot darnell, told james"	6	"103,910"	100
75	tt0375611	Black	2005	Drama	Sanjay Leela Bhansali	"Sanjay Leela Bhansali (screenplay), Bhavani Iyer (English dialogue), Bhavani Iyer (screenplay), Prakash Kapadia (dialogue), Prakash Kapadia (screenplay)"	"Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor"	"Based in Simla, the McNallys are an Anglo-Indian family consisting of Paul and his wife, Catherine. Both are full of joy when Catherine gives birth to a baby girl, Michelle, but their joy is short-lived when they are told that Michellle cannot see nor hear. Both attempt to bring up Michelle in their own protective way, as a result Michelle is not exposed to the real world, and becomes increasingly violent and volatile. Things only get worse when Catherine gives birth to Sara, and Paul considers admitting Michelle in an asylum. It is here that Debraj Sahai enters their lives. Through his eager involvement, Michelle blossoms, grows, gives up her violence, even gets admitted in school with normal children. The years pass by, Michelle does not succeed in getting her graduation, and it is time for Debraj to bid adieu as he is having his own health problems. 12 years later, at the age of 40, Michelle does succeed in graduating in Arts, and it is shortly thereafter she will be re-united with her teacher. No longer the same alcoholic, eccentric, - but a bent older male, who cannot even remember speech, leave alone what he taught. Watch what happens when Michelle attempts to re-enter his 'blank' life."	based simla mcnallys angloindian family consisting paul wife catherine full joy catherine give birth baby girl michelle joy shortlived told michellle can not see hear attempt bring up michelle protective way result michelle not exposed real world becomes increasingly violent volatile thing get worse catherine give birth sara paul considers admitting michelle asylum debraj sahai enters life eager involvement michelle blossom grows give up violence even get admitted school normal child year pas michelle not succeed getting graduation time debraj bid adieu health problem year later age michelle succeed graduating art shortly thereafter will reunited teacher no longer alcoholic eccentric bent older male can not even remember speech leave alone taught watch happens michelle attempt reenter blank life	" simla mcnallys, angloindian family, paul wife catherine, full joy catherine give, birth baby girl, michelle joy, told michellle, hear attempt, michelle protective way, real world, volatile thing, worse catherine, give birth, sara paul considers, admitting michelle, asylum debraj sahai, enters life, eager involvement michelle blossom, grows give, admitted school, child year pas, getting graduation, time debraj bid, adieu health, problem year, age michelle, eccentric bent, older male, remember speech leave, alone taught watch, michelle attempt reenter blank"	8.2	"29,139"	50
76	tt5474042	Half Girlfriend	2017	"Drama, Romance"	Mohit Suri	"Chetan Bhagat (novel), Tushar Hiranandani (screenplay), Ishita Moitra (dialogue)"	"Shraddha Kapoor, Greg Kriek, Arjun Kapoor, Rhea Chakraborty"	"Once upon a time, there was a Bihari boy called Madhav. He fell in love with a girl from Delhi called Riya. Madhav didn't speak English well. Riya did. Madhav wanted a relationship. Riya didn't. Riya just wanted friendship. Madhav didn't. Riya suggested a compromise. She agreed to be his half girlfriend."	upon time bihari boy called madhav fell love girl delhi called riya madhav didnt speak english well riya madhav wanted relationship riya didnt riya just wanted friendship madhav didnt riya suggested compromise agreed half girlfriend	" time bihari boy, called madhav fell, girl delhi, called riya, madhav didnt speak, well riya madhav, wanted relationship, riya didnt riya, madhav didnt riya suggested, compromise agreed half girlfriend"	4.2	"4,496"	100
77	tt0060196	"The Good, the Bad and the Ugly"	1966	Western	Sergio Leone	"Luciano Vincenzoni (story), Sergio Leone (story), Agenore Incrocci (screenplay), Furio Scarpelli (screenplay), Luciano Vincenzoni (screenplay), Sergio Leone (screenplay)"	"Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffrè"	"Blondie (The Good) is a professional gunslinger who is out trying to earn a few dollars. Angel Eyes (The Bad) is a hit man who always commits to a task and sees it through, as long as he is paid to do so. And Tuco (The Ugly) is a wanted outlaw trying to take care of his own hide. Tuco and Blondie share a partnership together making money off Tuco's bounty, but when Blondie unties the partnership, Tuco tries to hunt down Blondie. When Blondie and Tuco come across a horse carriage loaded with dead bodies, they soon learn from the only survivor (Bill Carson) that he and a few other men have buried a stash of gold in a cemetery. Unfortunately Carson dies and Tuco only finds out the name of the cemetery, while Blondie finds out the name on the grave. Now the two must keep each other alive in order to find the gold. Angel Eyes (who had been looking for Bill Carson) discovers that Tuco and Blondie met with Carson and knows they know the location of the gold. All he needs is for the two to lead him to it. Now The Good, The Bad and The Ugly must all battle it out to get their hands on $200,000 worth of gold."	blondie good professional gunslinger trying earn dollar angel eye bad hit man always commits task see long paid so tuco ugly wanted outlaw trying take care hide tuco blondie share partnership together making money off tucos bounty blondie unties partnership tuco try hunt blondie blondie tuco come across horse carriage loaded dead body soon learn survivor bill carson men buried stash gold cemetery unfortunately carson dy tuco find name cemetery blondie find name grave now two must keep alive order find gold angel eye looking bill carson discovers tuco blondie met carson know know location gold need two lead now good bad ugly must battle get hand worth gold	" professional gunslinger, earn dollar angel eye, bad hit man, commits task, wanted outlaw trying, take care, tuco blondie share, making money, tucos bounty blondie unties, partnership tuco try, hunt blondie blondie, tuco come, horse carriage, dead body, soon learn survivor, bill carson, men buried stash gold, unfortunately carson dy, tuco find, name cemetery blondie, find name grave, alive order, find gold, angel eye, looking bill, carson discovers, blondie met, carson know, know location, gold need, battle get"	8.9	"583,059"	96.6667
78	tt0758758	Into the Wild	2007	"Adventure, Biography, Drama"	Sean Penn	"Sean Penn (screenplay), Jon Krakauer (book)"	"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone"	"Based on a true story. After graduating from Emory University, Christopher McCandless abandoned his possessions, gave his entire savings account to charity, and hitchhiked to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters who shape his life."	based true story graduating emory university christopher mccandless abandoned possession gave entire saving account charity hitchhiked alaska live wilderness along way christopher encounter series character shape life	" true story, emory university christopher mccandless abandoned, possession gave entire saving, account charity, live wilderness, way christopher encounter, series character shape"	8.1	"497,337"	97.5
79	tt2084970	The Imitation Game	2014	"Biography, Drama, History"	Morten Tyldum	"Graham Moore, Andrew Hodges (book)"	"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear"	"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II."	based real life story legendary cryptanalyst alan turing film portrays nailbiting race time turing brilliant team codebreakers britain topsecret government code cypher school bletchley park darkest day world war ii	" real life story, legendary cryptanalyst alan turing, film portrays, nailbiting race, time turing brilliant team, codebreakers britain topsecret government, code cypher school, bletchley park, darkest day world war"	8	"577,259"	0
80	tt2277860	Finding Dory	2016	"Animation, Adventure, Comedy"	"Andrew Stanton, Angus MacLane(co-director)"	"Andrew Stanton (original story by), Andrew Stanton (screenplay by), Victoria Strouse (screenplay by), Bob Peterson (additional screenplay material by), Angus MacLane (additional story material by)"	"Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson"	"Dory is a wide-eyed, blue tang fish who suffers from memory loss every 10 seconds or so. The one thing she can remember is that she somehow became separated from her parents as a child. With help from her friends Nemo and Marlin, Dory embarks on an epic adventure to find them. Her journey brings her to the Marine Life Institute, a conservatory that houses diverse ocean species."	dory wideeyed blue tang fish suffers memory loss every second so thing can remember somehow became separated parent child help friend nemo marlin dory embarks epic adventure find journey brings marine life institute conservatory house diverse ocean specie	" dory wideeyed blue tang, fish suffers, memory loss, separated parent child help friend, nemo marlin dory embarks, epic adventure, journey brings, marine life institute conservatory, house diverse ocean"	7.3	"192,869"	80
81	tt0309698	Identity	2003	"Mystery, Thriller"	James Mangold	Michael Cooney	"John Cusack, Ray Liotta, Amanda Peet, John Hawkes"	"Malcolm Rivers has been convicted as the perpetrator of several murders and is sentenced to death. An eleventh hour defense by his lawyers and psychiatrist that Malcolm is insane based on new evidence has resulted in them meeting with the prosecutors and the judge to discuss if the verdict should be overturned. Meanwhile, on a dark night during a torrential rainstorm in the Nevada desert, a series of chain reaction events results in several people needing to stay at an out of the way motel managed by Larry. They are: ex-cop now limo driver Ed, and his client Caroline, a diva of a once famous actress; quiet adolescent Timmy, his stepfather George, and his mother Alice, who was seriously injured when Ed accidentally ran over her as she watched George change their flat tire; prostitute Paris, who was the unwitting cause of George's flat tire; newlyweds Lou and Ginny, whose marriage is based on a lie; and Police Officer Rhodes, who was en route escorting prisoner Robert to his new institution. They all can't leave the area because of washed out roads, all the other businesses around the motel are closed because of the storm, and all communication in and out is not functioning also because of the storm. One by one, they are murdered, the murderer leaving a calling card of a motel room key, starting with the room 10 key and working his way presumably to the room 1 key when the last person will be dead. Those still alive band somewhat together under Officer Rhodes and Ed's direction to find out which of the eleven is the murderer, and if, based on one of their theories, that they were brought to the motel by some force by the murderer as his intended targets. Whether those still alive can discover who the murderer is, discover why he has chosen to kill them, and be able to subdue him may well determine Malcolm's fate."	malcolm river convicted perpetrator several murder sentenced death eleventh hour defense lawyer psychiatrist malcolm insane based new evidence resulted meeting prosecutor judge discus verdict overturned meanwhile dark night torrential rainstorm nevada desert series chain reaction event result several people needing stay way motel managed larry excop now limo driver ed client caroline diva famous actress quiet adolescent timmy stepfather george mother alice seriously injured ed accidentally ran watched george change flat tire prostitute paris unwitting cause george flat tire newlywed lou ginny whose marriage based lie police officer rhodes en route escorting prisoner robert new institution cant leave area washed road business around motel closed storm communication not functioning also storm murdered murderer leaving calling card motel room key starting room key working way presumably room key last person will dead still alive band somewhat together officer rhodes ed direction find eleven murderer based theory brought motel force murderer intended target whether still alive can discover murderer discover chosen kill able subdue may well determine malcolms fate	" malcolm river, several murder, sentenced death, hour defense lawyer, psychiatrist malcolm insane, new evidence, resulted meeting, prosecutor judge discus, verdict overturned, meanwhile dark night, torrential rainstorm nevada desert, series chain reaction, event result, several people, stay way motel managed, limo driver, ed client caroline diva, famous actress, adolescent timmy stepfather george, mother alice, seriously injured ed, watched george change, flat tire prostitute paris, unwitting cause george, flat tire, lou ginny, marriage based lie, police officer rhodes, route escorting, prisoner robert, new institution cant leave, area washed, road business, motel closed, storm communication, storm murdered murderer, card motel room, key starting, room key, working way, room key, last person, still alive band, officer rhodes, ed direction, eleven murderer, based theory brought, motel force murderer, intended target, murderer discover, chosen kill, able subdue, determine malcolms fate"	7.3	"198,686"	66.6667
82	tt1587310	Maleficent	2014	"Action, Adventure, Family"	Robert Stromberg	"Linda Woolverton (screenplay by), Charles Perrault (based on ""La Belle au bois dormant"" written by)"	"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville"	"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal - an act that begins to turn her pure heart to stone. Bent on revenge, Maleficent faces a battle with the invading king's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and perhaps to Maleficent's true happiness as well."	beautiful purehearted young woman maleficent idyllic life growing up peaceable forest kingdom day invading army threatens harmony land maleficent rise land fiercest protector ultimately suffers ruthless betrayal act begin turn pure heart stone bent revenge maleficent face battle invading king successor result place curse upon newborn infant aurora child grows maleficent realizes aurora hold key peace kingdom perhaps maleficents true happiness well	" beautiful purehearted young woman, maleficent idyllic life, forest kingdom day invading, army threatens, harmony land maleficent rise, land fiercest protector, ruthless betrayal act begin, pure heart stone bent, revenge maleficent face, battle invading, king successor, result place curse, newborn infant aurora child grows, maleficent realizes, key peace kingdom, maleficents true"	7	"287,298"	100
83	tt1057500	Invictus	2009	"Biography, Drama, History"	Clint Eastwood	"Anthony Peckham (screenplay), John Carlin (book)"	"Morgan Freeman, Matt Damon, Tony Kgoroge, Patrick Mofokeng"	"The film tells the inspiring true story of how Nelson Mandela joined forces with the captain of South Africa's rugby team to help unite their country. Newly elected President Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's rugby team as they make their historic run to the 1995 Rugby World Cup Championship match."	film tell inspiring true story nelson mandela joined force captain south africa rugby team help unite country newly elected president mandela know nation remains racially economically divided wake apartheid believing can bring people together universal language sport mandela rally south africa rugby team make historic run rugby world cup championship match	" film tell, true story nelson mandela joined, force captain, south africa rugby team, help unite country, elected president, mandela know, nation remains, divided wake, apartheid believing, bring people, together universal language, south africa rugby, team make historic run, rugby world cup, championship match"	7.4	"134,970"	95
