im_id,title,releasedYear,Genre,Director,Writter,actors,imdb_votes,imdb_rating,keywords,PolarityConfidence,Tbl_ID
tt0021884,Frankenstein,1931,"Drama, Horror, Sci-Fi",James Whale,"John L. Balderston (based upon the composition by), Mary Shelley (from the novel by), Peggy Webling (adapted from the play by), Garrett Fort (screen play), Francis Edward Faragoh (screen play), Richard Schayer (scenario editor)","Colin Clive, Mae Clarke, John Boles, Boris Karloff","54,582",7.9," henry frankenstein doctor, discover way, dead walk, creates monster, deal living",100,13
tt0022100,M,1931,"Crime, Drama, Mystery",Fritz Lang,"Thea von Harbou (script), Fritz Lang (script)","Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke","113,605",8.4," germany han, unknown killer girl, hall mountain, king peer, gynt suite, girl death police force pressed, minister give best effort, serial killer, organized crime, great loss, intense search siege police decides, murderer support beggar association, catch han briefly",94.5455,14
tt0022395,The Skin Game,1931,Drama,Alfred Hitchcock,"John Galsworthy (a talking film by), Alfred Hitchcock (adaptation), Alma Reville (scenario)","C.V. France, Helen Haye, Jill Esmond, Edmund Gwenn","2,372",5.8," rich family hillcrests fighting, speculator hornblower, away poor farmer, build factory land, mr hillcrest find, chloe hornblower prostitute, secret blackmail speculator force, stop business",100,15
tt0022958,Grand Hotel,1932,"Drama, Romance",Edmund Goulding,"Vicki Baum (by), William Absalom Drake (play)","Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery","14,552",7.6," plushest expensive hotel, setting word, dr otternschlag people, come people go, happens doctor, so missed fact, baron von, geigern broke, trying steal, eccentric dancer grusinskayas pearl end, stealing heart, german businessman, preysing brow, beat kringelein, terminally ill kringelein, card end meanwhile baron, also steal heart, preysings mistress flaemmchen, doesnt end",70,16
tt0023285,Number 17,1932,"Crime, Mystery, Thriller",Alfred Hitchcock,"Joseph Jefferson Farjeon, Joseph Jefferson Farjeon (play), Alma Reville (scenario), Alfred Hitchcock (scenario), Rodney Ackland (scenario)","Leon M. Lion, Anne Grey, John Stuart, Donald Calthrop","3,769",5.8," detective gilbert, searching necklace robbed, gang thief, beginning gang, house london, detective recover jewel",10,17
tt0023395,East of Shanghai,1931,"Comedy, Romance, Thriller",Alfred Hitchcock,"Dale Collins (novel), Alfred Hitchcock (adaptation), Alma Reville, Val Valentine","Henry Kendall, Joan Barry, Percy Marmont, Betty Amann","3,355",5.9," boring life, big inheritance, rich relative, realize dream leave, cruise behaving, rich people, end richness, love family",100,18
tt0023876,Cavalcade,1933,"Drama, Romance, War",Frank Lloyd,"Reginald Berkeley (screen play), Sonya Levien (continuity)","Diana Wynyard, Clive Brook, Una O'Connor, Herbert Mundin","3,577",6," cavalcade english life, new year, seen eye, welltodo londoner jane, robert marryot, amongst event, touching family, boer war death, queen victoria, great war",66.6667,19
tt0023969,Duck Soup,1933,"Comedy, Musical, War",Leo McCarey,"Bert Kalmar (story), Harry Ruby (story), Arthur Sheekman (additional dialogue), Nat Perrin (additional dialogue)","The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx","50,028",8," country freedonia middle, financial crisis brink revolution, order gain bailout, wealthy mr, teasdale government appoints rufus, firefly president, firefly shuns, pretentiousness government, prudence rationality, meanwhile neighbouring country, plotting overthrow, freedonia sends pinky chicolini, spy firefly war",96,20
tt0024852,Babes in Toyland,1934,"Comedy, Family, Fantasy","Gus Meins, Charley Rogers","Frank Butler (screen play), Nick Grinde (screen play)","Virginia Karns, Charlotte Henry, Felix Knight, Florence Roberts","5,046",7.4," ollie dee stanley, dum try, borrow money, employer toymaker, mother peep shoe, bo peep clutch evil, barnaby fails, trick barnaby marrying, stanley dum, instead bo peep, enraged barnaby, unleashes bogeyman cavern destroy",100,21
tt0025316,It Happened One Night,1934,"Comedy, Romance",Frank Capra,"Robert Riskin (screen play), Samuel Hopkins Adams (based on the short story by)","Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns","77,494",8.1," ellie andrew, knot society aviator king, westley whisked, away father yacht, king clutch, ellie jump ship, bus headed, accept help outof, work reporter peter, give choice, stick get, husband hell, whistle ellie father, way peter, really juicy newspaper",100,22
